start,english_subtitle,translation
00:04:53.166,"They go,",Ja. Das eine.
00:04:55.002,"""God, we've never worked",Warum… Warum liegt es mir dann nicht vor?
00:04:58.755,in a place like this before.,"Eine Firma baut
auf effektive Kommunikation, oder?"
00:05:02.884,"""You're hilarious.","Was ist das Problem, Pam?"
00:05:04.262,And you get the best,Warum… habe ich es nicht erhalten?
00:05:07.098,"out of us.""","Du hast es in den Mülleimer geworfen,
den du als Sonderablage bezeichnet hast."
00:05:14.939,Um...,"Ja, das war ein Witz."
00:05:17.024,I think that,"Das war eigentlich ein Witz
von meinem Bruder."
00:05:19.651,pretty much sums it up.,"Der bezieht sich
eigentlich auf Rechnungen,"
00:05:22.404,I found it at Spencer Gifts.,bei Faxen zündet er nicht.
00:05:24.072,[singing],"-Wollen Sie bei mir mitlesen?
-Ja."
00:05:25.658,Shall I play for you,"Gerne, danke."
00:05:27.076,Pa rum pa pum pum,"Ok, nach unserem letzten Meeting"
00:05:28.911,[imitating drums],"entschieden Alan und der Vorstand,
dass die Filialen"
00:05:31.413,I have no gifts for you,in Scranton und Stamford zu viel sind.
00:05:33.333,Pa rum pa pum pum,"-Oh, ok.
-Nein, Michael, keine Panik."
00:05:35.543,[imitating drums],Nein.
00:05:36.461,"My job is to speak to clients,","-Das ist gut.
-Nein."
00:05:37.586,"um, on the phone,","-Ok.
-Michael. Hören Sie."
00:05:38.920,about...,"-Toll.
-Ok, keine Panik."
00:05:40.255,"uh, quantities","-Aber der Alarm macht Klingeling.
-Es ist nichts fix."
00:05:42.759,"and, uh, type of...",Ich sprach mit Josh in Stamford.
00:05:44.384,copier paper.,Ich sagte ihm dasselbe.
00:05:45.720,"You know, whether","Sie müssen mich überzeugen,"
00:05:47.430,"we can supply it to them,",welche Filiale bleibt.
00:05:48.723,"whether they can, uh...","Ok, kein Problem."
00:05:49.639,pay for it.,Das bedeutet natürlich Personalabbau.
00:05:51.684,"And, um...","Ich das will nicht hören, Jan."
00:05:54.019,[clicks tongue],Denn Personalabbau ist scheiße.
00:05:56.521,I'm--I'm boring myself,Aber so richtig scheiße.
00:05:58.608,just talking about this.,Das wünsche ich Joshs Leuten nicht.
00:06:01.569,Wassuuuup?!,"Das wünsche ich meinen Männern
und Frauen sicher auch nicht,"
00:06:04.362,Wassuuuup?,Anwesende ausgenommen.
00:06:06.115,I still love that,Tut mir leid…
00:06:07.492,after seven years.,"Macht Josh sich Sorgen
um seine Verkleinerung?"
00:06:11.079,Whasuuuup?,Nicht seine eigene.
00:06:12.120,Whasuuuup?,"-Aber im Allgemeinen?
-Na ja…"
00:06:19.002,Whasuuuuuuuuuup?,"Frage: Wie lange haben wir Zeit, um…"
00:06:23.423,Whassup?,Todd Packer. Toller Vertreter.
00:06:25.425,"Oh, wow.","-Darf ich rangehen?
-Nur zu."
00:06:27.845,[groans],"-Pac-Man.
-He, du alte Tunte."
00:06:30.305,What?,Das ist sehr unangemessen.
00:06:32.225,Nothin'.,Kommt die alte Godzillary heute?
00:06:34.726,"Okay, all right.","Keine Ahnung, was du meinst."
00:06:36.103,See you later.,"Ich wollte dir schon länger
eine Frage stellen."
00:06:39.357,All right.,"-Passt ihr Teppich zu ihren Gardinen?
-Oh mein Gott!"
00:06:44.278,Take care.,Das ist abscheulich.
00:06:48.199,Back to work!,Schrecklich.
00:06:50.408,Just try to reach him,Furchtbare Person.
00:06:52.954,sometime today.,"Meinen Sie, diese Sache könnte"
00:06:54.497,"Um, I don't know,",vorerst unter uns bleiben?
00:06:55.872,just before lunch.,Ich will keine unnötige Panik.
00:06:57.666,That would be great.,"Nein, absolut."
00:06:59.127,Corporate really doesn't,"Unter meiner Führung
bleibt das natürlich unter uns."
00:07:02.420,interfere with me at all.,Ganz klar.
00:07:03.422,Jan Levenson-Gould--,Was bedeutet Personalabbau eigentlich?
00:07:06.091,Jan! Hello!,Nun ja…
00:07:07.050,I call her,"Ihr müsst euren Lebenslauf aktualisieren,
so wie ich es mache."
00:07:09.928,Hillary Rodham Clinton.,"Ich wette, ich muss gehen."
00:07:11.639,Right?,Wahrscheinlich trifft es mich.
00:07:14.016,"Not to her face, because, uh--","Ja, das wird es."
00:07:15.267,"Well, not because","-Ich habe eine wichtige Frage.
-Ja?"
00:07:17.687,I'm scared of her.,Gehst du Sonntag zu Angelas Katzenparty?
00:07:20.689,Because I'm not.,"Ja, hör auf."
00:07:22.358,"But, um, yeah.",Was für eine Frage.
00:07:23.483,"All right, was there anything","Sage ich es ihnen?
Ich sage es ihnen nicht."
00:07:25.485,you wanted to add to the agenda?,Das halte ich für sinnlos.
00:07:26.571,Mmm...me no get,"Als ein Arzt sagt man doch
dem Patienten nicht, dass er Krebs hat."
00:07:30.449,an agenda.,Hallo.
00:07:31.533,I'm sor--What?,Hallo.
00:07:32.451,I'm sorry?,Das ist Mr. Scott.
00:07:33.411,I didn't get,Schuldig im Sinne der Anklage.
00:07:35.454,any agenda.,Ryan Howard von der Zeitarbeitsagentur.
00:07:37.747,"Well, I faxed one over",Ich soll heute hier anfangen.
00:07:39.333,to you this morning.,"Howard wie Mo Howard,
von den Three Stooges."
00:07:41.711,"Really? 'Cause it didn't,","-Genau.
-Schau mal, so macht Mo."
00:07:43.629,"uh, I didn't--","Quak, Quak, Quak, Muh!"
00:07:48.050,Did we get a fax,Alles klar. Three Stooges. Gib mir fünf.
00:07:50.177,this morning?,"Ach, Pam."
00:07:51.137,"Uh, yeah, the one--",Das ist ein Männerwitz.
00:07:52.680,Then why--why isn't,Ich bin quasi ein Komiker.
00:07:55.557,it in my hand?,Seht euch das an.
00:08:04.983,Because a company runs,Ich bin Hitler.
00:08:05.985,on efficiency of communication.,Adolf Hitler.
00:08:09.447,Right? Just...,"Ich glaube, es gäbe Schlimmeres,
als hier entlassen zu werden."
00:08:13.201,[imitates gun firing],Denn dann könnte ich…
00:08:15.870,"Um, so what's the problem,","Wenige Mädchen träumen davon,
Rezeptionistin zu werden."
00:08:20.290,Pam?,"Ich male gerne,"
00:08:23.793,"Why didn't, uh,",hauptsächlich Aquarelle.
00:08:25.713,why didn't I get it?,Ein paar Ölbilder.
00:08:28.216,You put it,Jim findet sie gut.
00:08:30.300,in the garbage can,"Dunder Mifflin, hier ist Pam."
00:08:32.010,that was a special,Klar.
00:08:33.178,filing cabinet.,"Mr. Davis, ich rufe gleich zurück."
00:08:35.096,Yeah!,Mir ist etwas dazwischengekommen.
00:08:36.724,"Uh, that was a joke.",Vielen Dank.
00:08:38.850,That was a joke,"Dwight, was soll das?"
00:08:40.101,"that, uh,","-Was?
-Was machst du?"
00:08:41.562,was actually,Ich räume nur den Schreibtisch auf.
00:08:43.688,my brother's.,"-Es ist nicht auf deinem Schreibtisch.
-Es ragt über die Kante."
00:08:47.692,And it was--,"Ein Wort, zwei Silben: Demarkation."
00:08:58.995,[laughs],"-Das geht nicht.
-Warum nicht?"
00:09:02.041,it was supposed,"Sicherheitsrisiko. Ich könnte stürzen
und mir ein Organ durchbohren."
00:09:07.296,"to be with bills,",Wir werden sehen.
00:09:12.717,and it doesn't,Deshalb stört mich dieser Personalabbau
00:09:14.595,work great with faxes.,"-überhaupt nicht.
-Personalabbau?"
00:09:16.138,- Do you wanna look at mine?,Personalabbau?
00:09:17.557,- Yeah.,Ich habe kein Problem damit.
00:09:19.307,"Yeah, I would.","Ich empfehle Personalabbau,"
00:09:20.976,Thank you.,seit ich hier angefangen habe.
00:09:23.062,"Okay, since",Schon in meinem Bewerbungsgespräch.
00:09:25.398,"the last meeting,","Von mir aus, immer her damit."
00:09:29.192,Alan and the board,"Da wären immer noch
die Nachrichten von gestern."
00:09:31.946,have decided,Es ist alles unter Kontrolle.
00:09:33.405,that we can't justify,Oh ja. Das ist wichtig.
00:09:36.658,a Scranton branch,Alles klar.
00:09:37.743,and a Stanford branch.,"Das ist so wichtig, ich sollte losrennen
und es sofort beantworten."
00:10:00.557,"Oh, okay.",Was?
00:10:03.394,"Michael, don't panic--",Der Sechs-Millionen-Dollar-Mann!
00:10:04.937,"No, no, no, no.",Steve Austin.
00:10:06.230,This is good.,"Das wäre ein gutes Gehalt für mich,
meinst du nicht auch?"
00:10:09.649,This is good.,Sechs Millionen Dollar?
00:10:10.860,"This is fine, excellent.",Nachricht an Jan:
00:10:12.068,"Michael, listen,",Ich will mehr verdienen.
00:10:13.903,"okay, don't panic.",Tun wir das nicht alle?
00:10:14.864,Although alarm bells are,Bitte?
00:10:17.450,kinda going ringy dingy dingy!,Nichts.
00:10:19.493,We haven't made,"Wenn du mit dem Gehalt unzufrieden bist,"
00:10:21.828,any decisions yet.,wende dich an die Personalabteilung.
00:10:24.539,I've spoken to Josh,"Ok, aber nicht heute, ok?"
00:10:26.583,in Stanford.,"Pam, sei einfach professionell."
00:10:34.634,I've told him,Ich gelte hier als Vorbild.
00:10:36.052,"the same as you,",Die Leute respektieren mich.
00:10:37.845,and it's up to either,Alle Angestellten von Dunder Mifflin:
00:10:39.971,you or him to convince me,"Gleich gibt es ein Meeting
im Konferenzraum."
00:10:43.558,that your branch,"Menschen, die ich respektiere,
meine Helden,"
00:10:45.769,can incorporate the other.,"das wären Bob Hope,"
00:10:51.107,"Okay, no problem.","Abraham Lincoln,"
00:10:53.443,"This does, however, mean that",auf jeden Fall.
00:10:55.779,there's going to be downsizing.,Bono.
00:10:59.825,Me no wanna,Und Gott…
00:11:02.702,"hear that, Jan.",…wäre wahrscheinlich der vierte.
00:11:05.873,Because downsizing,"Ich glaube, all diese Leute haben die Welt"
00:11:10.336,is a bitch.,"auf so viele Arten verbessert,"
00:11:14.090,It is a real bitch.,dass es…
00:11:16.926,And I wouldn't wish that,Da fehlen einem die Worte.
00:11:21.679,on Josh's men.,Einfach unermesslich.
00:11:23.974,I certainly wouldn't,"Ich weiß, es kursieren Gerüchte,
und ich wollte einfach…"
00:11:26.976,wish it on my men.,"Ich bin Assistenzmanager,
sag es mir zuerst."
00:11:29.062,"Or women,","-Assistent des Regionalmanagers.
-Ja, ok."
00:11:31.649,present company excluded.,Sagst du es mir? Ganz leise.
00:11:33.192,"Sorry, uh...","-Ich sage es allen.
-Flüstere es."
00:11:34.943,Is Josh concerned,"-Ich sage es allen.
-Bitte?"
00:11:36.236,"about downsizing, himself?","-Sag es uns einfach.
-Moment, bitte."
00:11:37.947,"Not downsizing himself,","-Soll ich es ihnen sagen?
-Du weißt ja gar nichts."
00:11:41.200,but is he concerned about,"-Also…
-Sag es. Ich erlaube es."
00:11:42.826,downsizing?,"-Ich brauche keine Erlaubnis.
-Nur zu."
00:11:44.702,Ha ha ha ha!,"Die Firmenleitung hielt es für angemessen,
mir ein Ultimatum zu stellen."
00:11:50.333,Question: How long,"-Was?
-Und Jan…"
00:11:52.293,do we have to act--,"Sie überlegt, entweder unsere Filiale
oder die in Stamford abzubauen."
00:11:56.256,[telephone rings],Diese Filiale könnte geschlossen werden.
00:11:58.716,"Oh, Todd Packer.",Das ist nur…
00:12:01.095,Terrific rep.,Das ist nur ein Gerücht.
00:12:02.303,Do you mind,"Ich bin neu hier, keine Ahnung."
00:12:03.806,if I take it?,"Was ist, wenn sie uns kündigen?"
00:12:05.890,Go right ahead.,Das wird nicht passieren.
00:12:07.225,Packman.,Das entscheidest nicht du.
00:12:08.601,(Todd),"Ich habe sehr wohl
darauf Einfluss, Stanley, ok?"
00:12:11.480,"Hey, you big queen!",Das verspreche ich.
00:12:12.480,"Oh, that's not...",Kannst du das?
00:12:13.774,appropriate.,"-Beim Leben seiner Mutter.
-Na ja…"
00:12:16.317,"Hey, is old Godzillary",Nein.
00:12:18.153,coming in today?,"Aber ja, ich verspreche es."
00:12:19.654,"Um, I don't know.","Offen gesagt, bin ich etwas beleidigt,
dass du da nachfragen musst."
00:12:23.741,I don't know what you mean.,So was müssen wir wissen.
00:12:25.452,"Look, I've been meaning",Ich weiß. Warte mal kurz.
00:12:28.038,to ask her one question.,"Ich glaube, Pam möchte etwas sagen."
00:12:30.206,Does the carpet,"Du hast so ausgesehen,
als ob du etwas fragen wolltest."
00:12:37.005,match the drapes?,"Ich war bei dem Meeting
mit Jan dabei, sie meinte,"
00:12:40.176,"Oh, my God.",dass diese Filiale dichtmachen könnte.
00:12:42.552,Ohh!,Bist du dir da sicher?
00:12:45.264,That's...horrifying.,"Pam, vielleicht hältst du dich besser,"
00:12:47.682,And horrible.,"was solche Besprechungen betrifft,"
00:12:49.434,Horrible person.,"-an die Schweigepflicht.
-Ja."
00:12:50.811,So do you think we could,"Pam, Information ist Macht."
00:12:53.397,keep a lid on this for now?,"Du kannst also nicht sicher sagen,
ob es sie oder uns trifft."
00:12:56.567,I don't wanna worry people,"Nein, Stanley."
00:12:58.443,unnecessarily.,"Nein, du hast mich nicht mit ihr erlebt."
00:13:00.988,"No, absolutely.","Ich sagte ihr,"
00:13:02.865,"Under this regime,","wenn die Firma angelaufen kommt,
und sich hier einmischen will,"
00:13:05.826,it will not,müssen sie zuerst an mir vorbei.
00:13:07.912,leave this office.,Versteht ihr?
00:13:09.120,Just...like that.,"Das können Sie bei Josh probieren,"
00:13:10.788,[whispering] So what does,"aber hier bin ich das Familienoberhaupt,"
00:13:12.707,downsizing actually mean?,"und an meine Kinder
lasse ich niemanden Hand anlegen."
00:13:22.927,Well...,"Wenn ich gehen würde, was sollte ich dann"
00:13:25.553,[whispering] You guys,"mit all diese nutzlosen Informationen
in meinem Kopf anstellen?"
00:13:30.183,"gotta update your resumes,",Der Tonnenpreis von Manila-Aktenmappen.
00:13:33.937,just like I'm doing.,"Pams Lieblingsjoghurt,"
00:13:36.065,I bet it's gonna be me.,das wäre Beerenmix.
00:13:41.695,It's probably gonna be me.,Jim hat Beerenmix gesagt?
00:13:46.283,"Yeah, it'll be you.",Er kennt mich so gut.
00:13:50.995,I have an important,Vorsicht vor dem Kerl hier.
00:13:52.413,question for you.,"Dwight Schrute am Start.
Das ist Ryan, die neue Aushilfe."
00:13:55.083,Yes?,"-Was geht?
-Sehr erfreut."
00:13:56.335,"[laughing] Um, are you going",Stell dich vor.
00:13:57.378,to Angela's cat party on Sunday?,"Dwight Schrute, Assistenzmanager."
00:13:59.754,Yeah. Stop.,Assistent des Regionalmanagers.
00:14:02.091,That is ridiculous.,"Dwight, erzähl ihm von dem Kung Fu,"
00:14:04.759,Am I gonna tell them?,und dem Auto und so weiter.
00:14:07.596,"No, I'm not going to tell them.","Ja, ich habe einen 78er 280Z."
00:14:09.847,I don't see,"Für 1.200 gekauft.
Er ist jetzt 3.000 wert."
00:14:11.933,the point of that.,"-Das ist sein Gewinn.
-Ja."
00:14:13.394,"As a doctor, you would not","Neuer Motor, Aufhängung, Lackierung…
Ich habe Fotos."
00:14:17.230,tell a patient,"Oh, verdammt!"
00:14:19.191,if they had cancer.,"-Jim.
-Ok, Auszeit."
00:14:21.652,Hey!,Das Gericht tagt. Was ist das Problem?
00:14:24.238,- Hey!,Er hat mein Zeug wieder in Pudding getan!
00:14:29.076,- This is Mr. Scott.,"Sehr professionell, vielen Dank."
00:14:30.619,Guilty!,"Zum dritten Mal schon,
lustiger wird's nicht, Jim."
00:14:32.955,Guilty as charged.,Es ist ganz ok hier.
00:14:34.706,Ryan Howard,"Aber manchmal nutzen die Leute es aus,"
00:14:36.542,from the temp agency.,wenn es so entspannt zugeht.
00:14:38.168,Uh-huh.,"Am Wochenende bin ich
als Hilfssheriff tätig."
00:14:42.505,Daniqua sent me down,Da darf niemand Mist bauen.
00:14:45.216,to start today.,Das ist eine der Regeln.
00:14:46.844,"Howard, like Moe Howard,","-Was ist das?
-Mein Tacker."
00:14:48.596,Three Stooges.,Nein! Nicht rausnehmen.
00:14:51.097,"Watch this, this is Moe.",Du musst ihn freiessen.
00:14:52.432,Nyuck! Nyuck! Nyuck!,"In dieser Welt verhungern Menschen,"
00:14:54.225,Nyuck! Nyuck!,was ich schlimm finde.
00:14:55.311,Meeeeh!,Und das wäre eine Verschwendung.
00:14:56.937,Ha ha!,Weißt du was? Du bist Zeuge.
00:14:58.438,"Ah, right here.",Kannst du ihn verwarnen?
00:15:01.734,Three Stooges.,"Wer sagt, dass ich es war?"
00:15:03.027,High five!,Du bist es immer.
00:15:04.068,"Oh, Pam.",Bestrafst du ihn jetzt?
00:15:05.403,"It's a guy thing, Pam.","Bestrafen, wie pervers!"
00:15:07.822,I'm sort of,"Ok, ich sag euch was, Jungs."
00:15:10.451,a student of comedy.,"Spielt man einen Streich,"
00:15:11.910,Heh heh.,"sollte man wissen, was angemessen ist,"
00:15:13.745,Watch this.,und wann es zu viel wird.
00:15:14.996,Here I go.,"-Ja.
-Und… Ja."
00:15:16.123,Heh heh.,"Jim, an diesem Punkt solltest du aufhören,"
00:15:19.751,[imitating Hitler],"Dwights Sachen
in Götterspeise einzugießen."
00:15:24.505,[laughing],Ok.
00:15:25.591,I'm Hitler!,"Dwight, tut mir leid."
00:15:26.759,Adolf Hitler.,Ich habe dich immer vergöttert.
00:15:32.221,[imitating Hitler],Nicht übel.
00:15:33.890,I don't think it would be,So läuft das hier.
00:15:35.600,the worst thing,Immer noch einen draufsetzen.
00:15:37.101,if they let me go.,Halte ihm nächstes Mal eine Schmandpauke.
00:15:39.062,Because then I might--,"He, ja, der Neue!"
00:15:41.981,"I just, I don't think",Voll ins Schwarze getroffen!
00:15:43.734,it's many little girls' dream,"Ok, das ist ja toll.
Was mir am meisten Sorge bereitet,"
00:15:46.695,to be a receptionist.,ist der Schaden am Firmeneigentum.
00:15:49.490,"Um, I like to do",Weiter nichts.
00:15:54.787,illustrations.,Pudding.
00:15:56.245,"Um, mostly watercolor.","Pudding, ich überlege mir noch"
00:15:59.582,A few oil pencil.,einen anderen Dessert-Witz.
00:16:02.711,Um...,"Hättest du Lust, am Wochenende
etwas trinken zu gehen?"
00:16:06.090,Jim thinks,Ja.
00:16:07.423,they're good.,Deshalb gehen wir ja alle aus.
00:16:09.051,"Dunder Mifflin,",Um am Wochenende was zu trinken.
00:16:10.677,this is Pam.,Wann gehen wir aus?
00:16:11.761,"Sure. Uh, Mr. Davis,","-Keine Ahnung. Heute Abend. Hoffentlich.
-Ok, ja."
00:16:17.684,let me call you right back.,"-He. Wie geht's?
-Hallo."
00:16:19.687,"Yeah, something just came up.","-He, Baby.
-Hallo."
00:16:20.770,Two minutes.,Roy ist mein Verlobter.
00:16:22.398,Thank you very much.,Wir sind inzwischen schon
00:16:25.400,"Dwight,",bald drei Jahre verlobt
00:16:26.902,what are you doing?,"und wollten im September heiraten,"
00:16:29.904,- What?,"aber ich glaube,
wir heiraten jetzt im Frühling."
00:16:33.533,- What are you doing?,"Stört es dich,
wenn ich mit denen was trinken gehe?"
00:16:37.578,Just clearing my desk.,"Nein, komm schon."
00:16:38.831,I can't concentrate.,Gehen wir nach Hause.
00:16:40.916,It's not on your desk.,Ok.
00:16:42.333,It's overlapping.,"Ich brauche noch ein paar Minuten.
Es ist erst 17:20 Uhr."
00:16:45.586,It's all spilling,Ich muss Faxe absenden.
00:16:51.592,over the edge.,"Weißt du was? Du solltest mitkommen,"
00:16:54.138,"One word, two syllables:","denn weißt du,"
00:16:55.264,demarcation.,"das könnte eine gute Gelegenheit sein,"
00:16:57.432,- You can't do that.,uns außerhalb des Büros kennenzulernen.
00:16:59.518,- Why not?,Das könnte nett werden.
00:17:00.769,Safety violation.,"-Nein, das klingt gut.
-Oh, nein."
00:17:03.105,I could fall and pierce...,"-Aber im Ernst, wir müssen los.
-Klar."
00:17:16.785,an organ.,Was hast du da in der Tasche?
00:17:20.580,We'll see.,"-Sag ihr, wir reden später.
-Klar."
00:17:22.165,"See, this is why","Ok, Mann, super. Wird gemacht."
00:17:28.212,the whole downsizing thing,"Ob ich glaube,
dass ich zur Hochzeit eingeladen werde?"
00:17:40.099,just doesn't bother me.,"Hast du schon ein Gefühl
für die Atmosphäre hier bekommen?"
00:17:42.894,Downsizing?,Wir arbeiten hart. Wir haben Spaß.
00:17:44.645,Downsizing?,"Manchmal blödeln wir, statt zu arbeiten."
00:17:46.565,"Yeah, I have",Stimmt's?
00:17:48.275,no problem with that.,"Ich glaube,"
00:17:49.859,I have been,"die Atmosphäre hier ist so, dass ich"
00:17:51.612,recommending downsizing,"in erster Linie ein Freund bin,"
00:17:53.363,since I first got here.,und erst in zweiter der Boss.
00:17:55.365,I even brought it up,"Vermutlich, ja."
00:17:56.909,in my interview.,In dritter ein Entertainer. Einen Moment.
00:17:59.118,I say bring it on.,Stimmt's?
00:18:01.579,You just still have,"Hey, willst du,"
00:18:03.499,these messages from yesterday.,magst du das Jamie Kennedy Experiment?
00:18:05.334,"Relax, everything's","-Ja?
-Versteckte Kamera und so was?"
00:18:07.211,under control.,"Ok, du bist jetzt mein Komplize."
00:18:09.712,"Uh, yeah, uh, yeah, yeah.",Spiel einfach mit.
00:18:10.838,"Oh, that's important.","-In Ordnung.
-Überlass das mir."
00:18:12.548,Rrrright.,"Lass mich nicht auflaufen, ja? Herein."
00:18:14.843,"Oh, this is so important","Die Firmenleitung sagte, dass ich nicht…"
00:18:17.304,I should run to answer it.,"-Ein Fax für dich.
-Oh, danke. Pam."
00:18:19.138,Sha-ta-ta-ta-ta-ta-ta!,"Pam, kommst du mal kurz rein?"
00:18:21.599,Sha-ta-ta-ta-ta-ta-ta!,Nimm doch Platz.
00:18:22.851,Sha-ta-ta-ta-ta-ta-ta!,Ich wollte dich eh herbitten.
00:18:25.061,Sha-ta-ta-ta-ta-ta-ta!,Ryan kennst du bereits?
00:18:27.271,Sha-ta-ta-ta-ta-ta-ta!,"Wie du weißt,"
00:18:28.731,Sha-ta-ta-ta-ta-ta-ta!,"müssen wir Personal abbauen,"
00:18:30.858,Sha-ta-ta-ta-ta-ta-ta!,"und du hast mir mein Leben
so viel einfacher gemacht,"
00:18:35.989,Sha-ta-ta-ta-ta-ta-ta!,"insofern, dass ich dich
als erstes entlassen muss."
00:18:40.493,Sha-ta-ta-ta-ta-ta-ta!,"Was, warum denn?"
00:18:42.078,What?,"Na ja, wegen des Diebstahls."
